ID,Vitamin D,Vitamin D dose,Size,Patient setting,Expectation,Notes,URL,PDF,Country,Region,Date,Completion,Trial status,Design,Blinding,Arms,COVID-19 status,Outcome,Treatment
NCT04335084,Y,,600,Healthcare Workers,Failure,vitamin D given in the placebo arm,https://clinicaltrials.gov/show/NCT04335084,NA,United States,"Washington, Dc",2020-Feb,NA,Recruiting,Single-Arm,Double,2,Healthy,"Viral Load or Clearance, Cough, Fever, Dyspnea, Other Mild Symptoms, Adverse Events, Serious Adverse Events","HCQ + Vitamins + Zinc, Standard of care"
NCT04476680,Y,"1000 IU/day D3 for 4 weeks, and 400 IU/d D3 as a maintenance dose",900,Healthy Unexposed,Failure,Low dose vitamin D is unlikely to show an effect in an open label trial. Also seroconversion is an ambiguos endpoint. ,https://clinicaltrials.gov/show/NCT04476680,NA,United Kingdom,London,2020-Jul,NA,Recruiting,Non-Randomised,Open-Label,2,Healthy,NA,"Standard of care, Vitamins"
2020-002274-28,Y,100k IU vitamin D,NA,Hospital,Failure,Bolus dose administered late in the disease course is unlikely to help.,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-002274-28/ES/,NA,Spain,Madrid,2020-May,NA,Recruiting,Randomised,Unspecified,2,Confirmed,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance","Standard of care, Vitamins"
2020-001903-17,Y,100k IU vitamin D,NA,Hospital,Failure,Bolus dose administered late in the disease course is unlikely to help.,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001903-17/ES/,NA,Spain,Madrid,2020-May,NA,Recruiting,Randomised,Open-Label,2,Confirmed,"Mortality, ICU Admission, Hospital Discharge, C-Reactive Protein, Ferritin, IL-6, LDH","TCZ, TCZ + Vitamins"
NCT04411446,Y,500k IU vitamin D,1264,Hospital,Failure,Bolus dose administered late in the disease course is unlikely to help.,https://clinicaltrials.gov/show/NCT04411446,NA,Argentina,Buenos Aires,2020-May,NA,Recruiting,Randomised,Quadruple,2,Confirmed,"Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)","Standard of care, Vitamins"
NCT04449718,Y,,240,Hospital,Failure,Bolus dose administered late in the disease course is unlikely to help.,https://ClinicalTrials.gov/show/NCT04449718,NA,Brazil,Sao Paulo,2020-Jun,2020-Oct,Completed,Randomised,Quadruple,2,Suspected,"Mortality, ICU Admission, Hospitalization, C-Reactive Protein","Standard of care, Vitamins"
CTRI/2020/06/026189,Y,60000 IU Single Dose,210,Hospital,Failure,Bolus dose administered late in the disease course is unlikely to help.,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45029,NA,India,New Delhi,2020-Jun,NA,Not Recruiting,Randomised,Double,2,Confirmed,"ICU Admission, Hospitalization, C-Reactive Protein",Other + Vitamins
ACTRN12620000557932,Y,,200,Hospital,Failure,vitamin D in the placebo arm,https://anzctr.org.au/ACTRN12620000557932.aspx,NA,Australia,Canberra,2020-Nov,NA,Recruiting,Randomised,Open-Label,2,Confirmed,"Mortality, Hospitalization, Hospital Discharge, Invasive Mechanical Ventilation or ECMO",HCQ + Zinc + Vitamins + AZT
IRCT20200324046850N1,Y,50k IU weekly,100,Hospital,Failure,Bolus dose administered late in the disease course is unlikely to help.,http://en.irct.ir/trial/46732,NA,Iran,Khuzestan,2020-Mar,2020-Jul,Completed,Randomised,Double,4,NA,"Cough, Fever, Dyspnea","Other, Standard of care, Vitamins, Vitamins + Other"
NCT04334005,Y,25k IU vitamin D,200,Outpatient,Failure,Bolus dose administered late in the disease course is unlikely to help.,https://clinicaltrials.gov/show/NCT04334005,NA,Spain,Madrid,2020-Mar,NA,Not Recruiting,Randomised,Double,2,Confirmed,"Mortality, ICU Admission, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Cough, Fever, Dyspnea, Other Mild Symptoms","Standard of care, Vitamins"
NCT04482686,Y,,300,Unclear,Failure,vitamin D in the placebo arm,https://clinicaltrials.gov/show/NCT04482686,NA,United States,"Washington, Dc",2020-Jul,NA,Recruiting,Randomised,Triple,4,Confirmed,NA,"Ivermectin + Doxycycline + Zinc + Vitamins, Vitamins + Zinc"
NCT04344041,Y,"400k IU treatment, 50k IU in the control",260,Unclear,Failure,Large bolus dose and vitamin D in the control arm,https://ClinicalTrials.gov/show/NCT04344041,NA,France,Paris,2020-Apr,2021-May,Recruiting,Randomised,Open-Label,2,NA,"Mortality, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Serious Adverse Events",Vitamins
IRCT20110726007117N11,Y,,210,Unclear,Failure,Bolus dose administered late in the disease course is unlikely to help.,http://en.irct.ir/trial/48287,NA,Iran,Razavi Khorasan,2020-Jul,2021-Jan,Completed,Randomised,Double,2,Confirmed,"C-Reactive Protein, Glucose","Standard of care, Vitamins"
NCT04395768,Y,,200,Unclear,Failure,vitamin D in the placebo arm,https://ClinicalTrials.gov/show/NCT04395768,NA,Australia,Victoria,2020-May,2021-Sep,Recruiting,Randomised,Double,6,Confirmed,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",HCQ + AZT + Zinc + Vitamins
NCT04525820,,,80,Hospital,,,https://ClinicalTrials.gov/show/NCT04525820,NA,Switzerland,Bern,2020-Aug,2021-May,Recruiting,Randomised,Quadruple,3,Confirmed,"Mortality, ICU Admission, Hospitalization",Vitamins
IRCT20180425039414N3,,,80,Hospital,,,http://en.irct.ir/trial/48083,NA,Iran,Tehran,2020-Jun,2020-May,Completed,Randomised,Open-Label,2,Confirmed,Hospitalization,"HCQ + LPV/r, HCQ + LPV/r + Vitamins"
IRCT20190121042444N3,,,78,Hospital,,,http://en.irct.ir/trial/49132,NA,Iran,Tehran,2020-Jul,2021-Feb,Completed,Randomised,Single,2,Confirmed,C-Reactive Protein,"Standard of care, Vitamins + Other"
NCT04363216,,,66,Hospital,,,https://clinicaltrials.gov/show/NCT04363216,NA,United States,Pennsylvania,2020-Apr,NA,Not Recruiting,Randomised,Open-Label,2,NA,Clinical Improvement Score (Any),"Standard of care, Vitamins"
NCT04344184,,,60,Hospital,,,https://ClinicalTrials.gov/show/NCT04344184,NA,United States,Virginia,2020-Apr,2021-May,Recruiting,Randomised,Quadruple,2,NA,"Clinical Improvement Score (Any), Fever","Standard of care, Vitamins"
IRCT20190917044805N2,,,60,Hospital,,,http://en.irct.ir/trial/46804,NA,Iran,Tehran,2020-Mar,2020-Oct,Completed,Randomised,Double,2,NA,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, C-Reactive Protein, Ferritin, Erythrocyte Sedimentation Rate","Standard of care, Vitamins"
IRCT20200516047468N1,,,50,Hospital,,,http://en.irct.ir/trial/48176,NA,Iran,Tehran,2020-May,2020-May,Completed,Randomised,Double,2,Confirmed,Radiographic Findings,"Antibiotics + AZT + LPV/r, Vitamins + Antibiotics + AZT + LPV/r"
CTRI/2020/05/025215,,,50,Hospital,,,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43769,NA,India,New Delhi,2020-May,NA,Not Recruiting,Randomised,Open-Label,2,Confirmed,Viral Load or Clearance,"Alternative therapy, Vitamins + Zinc"
CTRI/2020/07/026789,,,50,Hospital,,,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45111,NA,India,New Delhi,2020-Jul,NA,Not Recruiting,Randomised,Unspecified,2,Confirmed,"Clinical Improvement Score (Any), Adverse Events","Antimalarial + Alternative therapy + Vitamins, Standard of care"
NCT04502667,,,40,Hospital,,,https://clinicaltrials.gov/show/NCT04502667,NA,Mexico,Mexico,2020-Apr,NA,Recruiting,Randomised,Open-Label,2,Confirmed,"Ferritin, IL-2","Standard of care, Vitamins"
NCT04770740,,,40,Hospital,,,https://clinicaltrials.gov/show/NCT04770740,NA,Netherlands,Amsterdam,2021-Feb,NA,Recruiting,Randomised,Quadruple,2,Confirmed,NA,"Standard of care, Vitamins"
IRCT20170117032004N3,,,30,Hospital,,,http://en.irct.ir/trial/46564,NA,Iran,East Azarbaijan,2020-Mar,2020-Jul,Completed,Randomised,Open-Label,2,Confirmed,Hospitalization,"Standard of care, Vitamins"
NCT04459247,,,30,Hospital,,,https://clinicaltrials.gov/show/NCT04459247,NA,India,New Delhi,2020-Mar,NA,Not Recruiting,Randomised,Double,2,Confirmed,NA,"Standard of care, Vitamins"
NCT04357782,,,20,Hospital,,,https://ClinicalTrials.gov/show/NCT04357782,NA,United States,Virginia,2020-Apr,2020-Oct,Completed,Single-Arm,Open-Label,2,NA,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, Neutrophils, D-Dimer, LDH",Vitamins
IRCT20200319046819N1,,,60,ICU,,,http://en.irct.ir/trial/46838,NA,Iran,Tehran,2020-Apr,2020-Jul,Completed,Randomised,Single,2,NA,"Mortality, Hospitalization, C-Reactive Protein, IL-6, Tumor Necrosis Factor (Any), Interferon (Any), White Blood Cell Count, Erythrocyte Sedimentation Rate","Standard of care, Vitamins"
NCT04264533,,,56,ICU,,,https://clinicaltrials.gov/show/NCT04264533,NA,China,Beijing,2020-Apr,NA,Not Recruiting,Randomised,Triple,2,Confirmed,"Mortality, ICU Admission, Clinical Improvement Score (Any), PaO2-FiO2, Respiratory Rate, Hypoxia, Hypoxemia","Standard of care, Vitamins"
IRCT20151228025732N52,,,30,ICU,,,http://en.irct.ir/trial/46963,NA,Iran,Semnan,2020-Apr,2020-Jun,Completed,Randomised,Open-Label,2,NA,"Organ Failure or Dysfunction (SOFA), Respiratory Rate, Radiographic Findings","Melatonin + Vitamins + Sulfate, Standard of care"
NCT04682574,,,15,ICU,,,https://ClinicalTrials.gov/show/NCT04682574,NA,Pakistan,Punjab,2020-Dec,2020-Dec,Recruiting,Randomised,Open-Label,2,Confirmed,"Hospitalization, PaO2-FiO2","Standard of care, Vitamins"
PACTR202006899597082,,,60,Outpatient,,,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11103,NA,Madagascar,Antananarivo,2020-May,NA,Not Recruiting,Randomised,Unspecified,3,Confirmed,NA,"Other, Other + Vitamins, Standard of care"
NCT04399746,,,30,Outpatient,,,https://clinicaltrials.gov/show/NCT04399746,NA,Mexico,Mexico,2020-May,NA,Recruiting,Non-Randomised,Open-Label,2,Confirmed,Viral Load or Clearance,"AZT + Ivermectin + Vitamins, Standard of care"
CTRI/2020/07/026675,,,76,"Outpatient, Hospital",,,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45731,NA,India,New Delhi,2020-Jul,NA,Not Recruiting,Randomised,Open-Label,2,Confirmed Or Suspected,"Invasive Mechanical Ventilation or ECMO, Cough, Fever, Dyspnea, Other Mild Symptoms","Alternative therapy, HCQ + AZT + Oseltamivir + Vitamins"
NCT04385940,,,64,Unclear,,,https://ClinicalTrials.gov/show/NCT04385940,NA,Canada,Alberta,2020-May,2020-Aug,Not Recruiting,Randomised,Quadruple,2,Confirmed,"ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, C-Reactive Protein, Ferritin, IL-6, Tumor Necrosis Factor (Any), White Blood Cell Count, Lymphocyte Count, Platelet Count",Vitamins
NCT04664010,,,60,Unclear,,,https://ClinicalTrials.gov/show/NCT04664010,NA,China,Shaanxi,2020-Dec,2021-Jan,Not Recruiting,Randomised,Single,6,Confirmed,"Cough, Fever, C-Reactive Protein, IL-6, IL-10, Tumor Necrosis Factor (Any), Erythrocyte Sedimentation Rate, Procalcitonin, SpO2, Respiratory Rate, Radiographic Findings","TCM + Western Medicine, TCM + Western Medicine + Vitamins, Western Medicine"
IRCT20190727044343N3,,,60,Unclear,,,http://en.irct.ir/trial/47062,NA,Iran,Tehran,2020-Jun,2020-Jun,Completed,Randomised,Double,2,Confirmed,"C-Reactive Protein, IL-6, Radiographic Findings","Antivirals, Vitamins"
NCT04468139,,,60,Unclear,,,https://clinicaltrials.gov/show/NCT04468139,NA,Saudi Arabia,Riyadh,2020-May,NA,Recruiting,Single-Arm,Open-Label,1,Confirmed,Hospital Discharge,Alternative therapy + Zinc + Vitamins
CTRI/2020/06/025874,,,60,Unclear,,,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=44684,NA,India,New Delhi,2020-Jun,NA,Not Recruiting,Randomised,Open-Label,2,Confirmed,"Viral Load or Clearance, Cough, Fever, IL-2, IL-6, IL-10, Tumor Necrosis Factor (Any), IgG, IgM or IgA","Alternative therapy, Vitamins + Zinc"
NCT04407286,,,41,Unclear,,,https://clinicaltrials.gov/show/NCT04407286,NA,United States,"Washington, Dc",2020-May,NA,Not Recruiting,Single-Arm,Open-Label,1,Confirmed,NA,Vitamins
CTRI/2020/07/026433,,,25,Unclear,,,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45252,NA,India,New Delhi,2020-Aug,NA,Not Recruiting,Randomised,Open-Label,2,Confirmed,Clinical Improvement Score (Any),"Alternative therapy, AZT + Vitamins + Other"
